"","date","hour","TemperatureF","Dew_PointF","Humidity","Sea_Level_PressureIn","VisibilityMPH"
"1",2016-10-01,0,57.9,57,97,30.3433333333333,8.66666666666667
"2",2016-10-01,1,57.9,57,97,30.3366666666667,2.66666666666667
"3",2016-10-01,2,57.9,57,97,30.3225,4.75
"4",2016-10-01,3,57,57,100,30.305,3.5
"5",2016-10-01,4,57,57,100,30.3,4.25
"6",2016-10-01,5,57,57,100,30.305,3.25
"7",2016-10-01,6,57,57,100,30.3075,3.125
"8",2016-10-01,7,55.9,55.9,100,30.31,2.25
"9",2016-10-01,8,55.9,55.9,100,30.31,3.5
"10",2016-10-01,9,55.9,55.9,100,30.305,3
"11",2016-10-01,10,57,56.45,98,30.29,6.5
"12",2016-10-01,11,57.45,57,98.5,30.285,3.75
"13",2016-10-01,12,57.9,57.9,100,30.265,1.5
"14",2016-10-01,13,57.9,57.9,100,30.24,1
"15",2016-10-01,14,57,57,100,30.24,1
"16",2016-10-01,15,55.9,55.9,100,30.24,1
"17",2016-10-01,16,55,55,100,30.24,1
"18",2016-10-01,17,55,55,100,30.21,1
"19",2016-10-01,18,55.9,55,97,30.215,2
"20",2016-10-01,19,55.9,55.45,98.5,30.2,2.75
"21",2016-10-01,20,55,54,96,30.21,3
"22",2016-10-01,21,55,53.1,93,30.2,3
"23",2016-10-01,22,55,54.5,98,30.18,3
"24",2016-10-01,23,55,55,100,30.18,2.5
"25",2016-10-02,0,55.45,55,98.5,30.175,3
"26",2016-10-02,1,54,54,100,30.165,2.5
"27",2016-10-02,2,53.1,53.1,100,30.15,2.5
"28",2016-10-02,3,53.1,53.1,100,30.16,2.5
"29",2016-10-02,4,54,54,100,30.15,2
"30",2016-10-02,5,53.8,53.8,100,30.14,3
"31",2016-10-02,6,54,54,100,30.14,3
"32",2016-10-02,7,54,53.1,97,30.15,3
"33",2016-10-02,8,54,54,100,30.15,2.25
"34",2016-10-02,9,55,54,96,30.14,7
"35",2016-10-02,10,55.9,54,93,30.13,10
"36",2016-10-02,11,55.9,54,93,30.12,10
"37",2016-10-02,12,55.9,54,93,30.11,10
"38",2016-10-02,13,56.45,54,91,30.1,10
"39",2016-10-02,14,55.7333333333333,54.2,94.6666666666667,30.0866666666667,8
