"","date","hour","month","day","Day.of.Week","weekday","PeakHour","TemperatureF","Dew_PointF","Humidity","Sea_Level_PressureIn","VisibilityMPH","KwH"
"1",2016-10-01,0,10,1,7,0,0,57.9,57,97,30.3433333333333,8.66666666666667,87.1218685190348
"2",2016-10-01,1,10,1,7,0,0,57.9,57,97,30.3366666666667,2.66666666666667,88.7029928038468
"3",2016-10-01,2,10,1,7,0,0,57.9,57,97,30.3225,4.75,94.3338597547513
"4",2016-10-01,3,10,1,7,0,0,57,57,100,30.305,3.5,119.435052359849
"5",2016-10-01,4,10,1,7,0,0,57,57,100,30.3,4.25,93.1917904945575
"6",2016-10-01,5,10,1,7,0,0,57,57,100,30.305,3.25,94.5872294238525
"7",2016-10-01,6,10,1,7,0,0,57,57,100,30.3075,3.125,94.4911684191508
"8",2016-10-01,7,10,1,7,0,1,55.9,55.9,100,30.31,2.25,124.313476515695
"9",2016-10-01,8,10,1,7,0,1,55.9,55.9,100,30.31,3.5,124.034973609857
"10",2016-10-01,9,10,1,7,0,1,55.9,55.9,100,30.305,3,124.101907503348
"11",2016-10-01,10,10,1,7,0,1,57,56.45,98,30.29,6.5,120.237563638059
"12",2016-10-01,11,10,1,7,0,1,57.45,57,98.5,30.285,3.75,122.107637118817
"13",2016-10-01,12,10,1,7,0,1,57.9,57.9,100,30.265,1.5,124.655060906167
"14",2016-10-01,13,10,1,7,0,1,57.9,57.9,100,30.24,1,124.683173076
"15",2016-10-01,14,10,1,7,0,1,57,57,100,30.24,1,124.249561253584
"16",2016-10-01,15,10,1,7,0,1,55.9,55.9,100,30.24,1,124.939567537269
"17",2016-10-01,16,10,1,7,0,1,55,55,100,30.24,1,123.129758369265
"18",2016-10-01,17,10,1,7,0,1,55,55,100,30.21,1,123.244736488386
"19",2016-10-01,18,10,1,7,0,1,55.9,55,97,30.215,2,120.335875001746
"20",2016-10-01,19,10,1,7,0,1,55.9,55.45,98.5,30.2,2.75,121.241966958533
"21",2016-10-01,20,10,1,7,0,0,55,54,96,30.21,3,89.1778915499411
"22",2016-10-01,21,10,1,7,0,0,55,53.1,93,30.2,3,89.3102064482806
"23",2016-10-01,22,10,1,7,0,0,55,54.5,98,30.18,3,90.6883465156318
"24",2016-10-01,23,10,1,7,0,0,55,55,100,30.18,2.5,97.562017628893
"25",2016-10-02,0,10,2,1,1,0,55.45,55,98.5,30.175,3,92.7704072391228
"26",2016-10-02,1,10,2,1,1,0,54,54,100,30.165,2.5,92.5844898637249
"27",2016-10-02,2,10,2,1,1,0,53.1,53.1,100,30.15,2.5,203.985907216312
"28",2016-10-02,3,10,2,1,1,0,53.1,53.1,100,30.16,2.5,165.145444660196
"29",2016-10-02,4,10,2,1,1,0,54,54,100,30.15,2,102.314630158167
"30",2016-10-02,5,10,2,1,1,0,53.8,53.8,100,30.14,3,102.208628960732
"31",2016-10-02,6,10,2,1,1,0,54,54,100,30.14,3,102.188059699386
"32",2016-10-02,7,10,2,1,1,1,54,53.1,97,30.15,3,137.874693112467
"33",2016-10-02,8,10,2,1,1,1,54,54,100,30.15,2.25,140.162929482826
"34",2016-10-02,9,10,2,1,1,1,55,54,96,30.14,7,137.579017123682
"35",2016-10-02,10,10,2,1,1,1,55.9,54,93,30.13,10,136.997138715486
"36",2016-10-02,11,10,2,1,1,1,55.9,54,93,30.12,10,136.831953600316
"37",2016-10-02,12,10,2,1,1,1,55.9,54,93,30.11,10,136.756611122477
"38",2016-10-02,13,10,2,1,1,1,56.45,54,91,30.1,10,136.848557952342
"39",2016-10-02,14,10,2,1,1,1,55.7333333333333,54.2,94.6666666666667,30.0866666666667,8,137.45048867095
"40",2016-10-02,15,10,2,1,1,1,56.45,54,91,30.075,10,136.872929900879
"41",2016-10-02,16,10,2,1,1,1,57,53.1,87,30.07,10,136.421869656931
"42",2016-10-02,17,10,2,1,1,1,55.9,54,93,30.06,10,136.430611098301
"43",2016-10-02,18,10,2,1,1,1,57,54,89,30.06,10,136.378973637472
"44",2016-10-02,19,10,2,1,1,1,55.9,54,93,30.06,10,136.430611098301
"45",2016-10-02,20,10,2,1,1,0,55.9,54,93,30.04,10,83.9613274157289
"46",2016-10-02,21,10,2,1,1,0,55.9,54,93,30.04,10,83.9613274157289
"47",2016-10-02,22,10,2,1,1,0,56.45,54,91,30.03,10,83.4411788119559
"48",2016-10-02,23,10,2,1,1,0,55.9,54,93,30.03,10,83.7119359466911
