"","Date","hour","Account","Channel","Units","month","day","year","Day of Week","weekday","Kwh","PeakHour","TemperatureF","Dew_PointF","Humidity","Sea_Level_PressureIn","VisibilityMPH","Wind_SpeedMPH","WindDirDegrees","Conditions","Wind_Direction"
"1",2014-01-01,0,26908650026,"MILDRED SCHOOL 1","kWh",1,1,2014,4,1,132.369999,0,23,5,46,30.2,10,8.1,290,"Clear","WNW"
"2",2014-01-01,1,26908650026,"MILDRED SCHOOL 1","kWh",1,1,2014,4,1,132.719997,0,21.9,3.9,46,30.23,10,11.5,290,"Partly Cloudy","WNW"
"3",2014-01-01,2,26908650026,"MILDRED SCHOOL 1","kWh",1,1,2014,4,1,129.029997,0,21.9,3.9,46,30.25,10,12.7,240,"Clear","WSW"
"4",2014-01-01,3,26908650026,"MILDRED SCHOOL 1","kWh",1,1,2014,4,1,125.759998,0,21.9,3,44,30.27,10,11.5,250,"Clear","WSW"
"5",2014-01-01,4,26908650026,"MILDRED SCHOOL 1","kWh",1,1,2014,4,1,129.389997,0,21,3,46,30.29,10,9.2,260,"Clear","West"
"6",2014-01-01,5,26908650026,"MILDRED SCHOOL 1","kWh",1,1,2014,4,1,132.509998,0,21,3,46,30.3,10,11.5,270,"Clear","West"
"7",2014-01-01,6,26908650026,"MILDRED SCHOOL 1","kWh",1,1,2014,4,1,134.929996,0,21,3.9,48,30.32,10,10.4,250,"Scattered Clouds","WSW"
"8",2014-01-01,7,26908650026,"MILDRED SCHOOL 1","kWh",1,1,2014,4,1,122.809998,1,19.9,5,52,30.35,10,10.4,230,"Scattered Clouds","SW"
"9",2014-01-01,8,26908650026,"MILDRED SCHOOL 1","kWh",1,1,2014,4,1,119.959996,1,23,6.1,48,30.37,10,10.4,260,"Scattered Clouds","West"
"10",2014-01-01,9,26908650026,"MILDRED SCHOOL 1","kWh",1,1,2014,4,1,123.159999,1,24.1,5,44,30.39,10,16.1,300,"Scattered Clouds","WNW"
"11",2014-01-01,10,26908650026,"MILDRED SCHOOL 1","kWh",1,1,2014,4,1,129.109998,1,26.1,5,41,30.35,10,12.7,280,"Partly Cloudy","West"
"12",2014-01-01,11,26908650026,"MILDRED SCHOOL 1","kWh",1,1,2014,4,1,125.829996,1,26.1,5,41,30.34,10,13.8,260,"Mostly Cloudy","West"
"13",2014-01-01,12,26908650026,"MILDRED SCHOOL 1","kWh",1,1,2014,4,1,120.909997,1,27,5,39,30.33,10,13.8,280,"Scattered Clouds","West"
"14",2014-01-01,13,26908650026,"MILDRED SCHOOL 1","kWh",1,1,2014,4,1,125.199997,1,28,3.9,36,30.33,10,8.1,300,"Mostly Cloudy","WNW"
"15",2014-01-01,14,26908650026,"MILDRED SCHOOL 1","kWh",1,1,2014,4,1,128.589997,1,27,3.9,37,30.33,10,10.4,270,"Scattered Clouds","West"
"16",2014-01-01,15,26908650026,"MILDRED SCHOOL 1","kWh",1,1,2014,4,1,143.169998,1,27,5,39,30.35,10,10.4,290,"Mostly Cloudy","WNW"
